Archer		
Balance beam		
Ballet		
Balloon		
Banana peel		
Book		
Braces		
Button		
Car		
Cheers		
Clown		
Dinosaur		
Disco		
Dizzy		
Fart		
Fishing		
Gallop		 
Ghost		
Haircut		
Halo		
Hiccup
Hot dog		
Hungry		
Hurt		
Ice skating		
Karate		
Ladder		
Light bulb		
Limbo		
Macarena		
Paint		
Pirate		
Read		
River dance		
Rock star		
Shoelaces		
Sick		
Singer		
Skateboard		
Slippery		
Soccer		
Strong		
Stubbed toe		
Sunshine		
Surprise		
Swing		
Sword		
Tap dance		
Wheelbarrow		
Wizard of Oz		

