Achselschweiß
Armdrücken
Auto fahren
Arzt
Baby
Bär
Blinklicht
Boxer
Brustschwimmen
Bürgermeister
Detektiv
Dickkopf
Dirigent
Dompteur
Einbrecher
einen Fisch angeln
Eisbär
Elvis
Eskimo
Fahrradkette
Fee
Federball
spielen
Fernseher
Flaschenhals
Floh
Friseuse
Frosch
Fußball
spielen
Gabelstapler
Geld wechseln
Herzensbrecher
Haarföhn
Handschuh
Indianer
joggen
Känguru
Karten spielen
Käsefüße
Kellnerin
Klobrille
Knopf
Kopfschmerzen
Kuchen backen
Kuhglocke
Lehrerin
Matrose
Maus
Nasenbohrer
Papst
Pferd
Politiker
Putzfrau
Reiterin
Reißverschluss
Rennfahrer
Riese
Scheibenwischer
Schornsteinfeger
schwimmen
schminken
duschen
sonnen
Sonnenblume
Spion
Sumoringer
Surfer
Tänzerin
Taube
telefonieren
Zähne putzen
Zahnarzt
Zwerg
